Sample No,P1,P2,P3,P4,P5,P6,P7,P8,,R1,,
1,0.01,0.0483,0.8728,0.000435,0.01,0.0483,0.8728,0.000435,,0.023,,
2,0.01,0.0483,0.8728,0.000435,0.01,0.0483,0.8728,0.000435,,0.008,,
3,0.01,0.0483,0.8728,0.000435,0.01,0.0483,0.8728,0.000435,,0.014,,
4,0.01,0.0483,0.8728,0.000435,0.01,0.0483,0.8728,0.000435,,0.011,,
,,,,,,,,,,,,
6,0.01,0.0483,0.8728,0.000435,0.01,0.0483,0.8728,0.000435,,0.007,,
7,0.01,0.0483,0.8728,0.000435,0.01,0.0483,0.8728,0.000435,,0.027,,
8,0.01,0.0483,0.8728,0.000435,0.01,0.0483,0.8728,0.000435,,0.029,,
9,0.01,0.0483,0.8728,0.000435,0.01,0.0483,0.8728,0.000435,,0.015,,
,,,,,,,,,,,,
11,0.01,0.0483,0.8728,0.000435,0.01,0.0483,0.8728,0.000435,,0.03,,
12,0.01,0.0483,0.8728,0.000435,0.01,0.0483,0.8728,0.000435,,0.021,,
13,0.01,0.0483,0.8728,0.000435,0.01,0.0483,0.8728,0.000435,,0.016,,
14,0.01,0.0483,0.8728,0.000435,0.01,0.0483,0.8728,0.000435,,0.022,,
,,,,,,,,,,,,
16,0.01,0.0483,0.8728,0.000435,0.01,0.0483,0.8728,0.000435,,0.009,,
17,0.01,0.0483,0.8728,0.000435,0.01,0.0529,0.935,0.000539,,0.022,,
18,0.01,0.0483,0.8728,0.000435,0.01,0.0529,0.935,0.000539,,0.008,,
19,0.01,0.0483,0.8728,0.000435,0.01,0.0529,0.935,0.000539,,0.019,,
,,,,,,,,,,,,
21,0.01,0.0483,0.8728,0.000435,0.01,0.0529,0.935,0.000539,,0.009,,
22,0.01,0.0483,0.8728,0.000435,0.01,0.0529,0.935,0.000539,,0.008,,
23,0.01,0.0483,0.8728,0.000435,0.01,0.0529,0.935,0.000539,,0.024,,
24,0.01,0.0483,0.8728,0.000435,0.01,0.0529,0.935,0.000539,,0.011,,
,,,,,,,,,,,,
26,0.01,0.0483,0.8728,0.000435,0.01,0.0529,0.935,0.000539,,0.018,,
27,0.01,0.0483,0.8728,0.000435,0.01,0.0529,0.935,0.000539,,0.014,,
28,0.01,0.0483,0.8728,0.000435,0.01,0.0529,0.935,0.000539,,0.004,,
29,0.01,0.0483,0.8728,0.000435,0.01,0.0529,0.935,0.000539,,0.017,,
,,,,,,,,,,,,
31,0.01,0.0483,0.8728,0.000435,0.01,0.0529,0.935,0.000539,,0.015,,
32,0.01,0.0483,0.8728,0.000435,0.01,0.0529,0.935,0.000539,,0.027,,
33,0.01,0.0483,0.8728,0.000435,0.01,0.0575,0.947,0.000694,,0.023,,
34,0.01,0.0483,0.8728,0.000435,0.01,0.0575,0.947,0.000694,,0.03,,
,,,,,,,,,,,,
36,0.01,0.0483,0.8728,0.000435,0.01,0.0575,0.947,0.000694,,0.003,,
37,0.01,0.0483,0.8728,0.000435,0.01,0.0575,0.947,0.000694,,0.01,,
38,0.01,0.0483,0.8728,0.000435,0.01,0.0575,0.947,0.000694,,0.022,,
39,0.01,0.0483,0.8728,0.000435,0.01,0.0575,0.947,0.000694,,0.023,,
,,,,,,,,,,,,
41,0.01,0.0483,0.8728,0.000435,0.01,0.0575,0.947,0.000694,,0.011,,
42,0.01,0.0483,0.8728,0.000435,0.01,0.0575,0.947,0.000694,,0.009,,
43,0.01,0.0483,0.8728,0.000435,0.01,0.0575,0.947,0.000694,,0.021,,
44,0.01,0.0483,0.8728,0.000435,0.01,0.0575,0.947,0.000694,,0.006,,
,,,,,,,,,,,,
46,0.01,0.0483,0.8728,0.000435,0.01,0.0575,0.947,0.000694,,0.026,,
47,0.01,0.0483,0.8728,0.000435,0.01,0.0575,0.947,0.000694,,0.002,,
48,0.01,0.0483,0.8728,0.000435,0.01,0.0575,0.947,0.000694,,0.012,,
49,0.01,0.0483,0.8728,0.000435,0.01,0.0682,0.9513,0.000817,,0.028,,
,,,,,,,,,,,,
51,0.01,0.0483,0.8728,0.000435,0.01,0.0682,0.9513,0.000817,,0.02,,
52,0.01,0.0483,0.8728,0.000435,0.01,0.0682,0.9513,0.000817,,0.024,,
53,0.01,0.0483,0.8728,0.000435,0.01,0.0682,0.9513,0.000817,,0.003,,
54,0.01,0.0483,0.8728,0.000435,0.01,0.0682,0.9513,0.000817,,0.02,,
,,,,,,,,,,,,
