Load,Actuator,Time,Strain
-3.06825,0,0.09,1.01E-06
-2.84884,0,0.157,1.73E-06
-2.38585,0,0.223,8.11E-06
-1.91418,0,0.29,1.21E-05
-1.61167,0.006944,0.357,1.18E-05
-1.30291,0.020833,0.423,1.81E-05
-1.24391,0.027778,0.49,1.79E-05
-1.07775,0.041667,0.557,1.83E-05
-0.85787,0.048611,0.623,2.42E-05
-0.67655,0.0625,0.69,2.49E-05
-0.42816,0.076389,0.757,2.41E-05
-0.09457,0.097222,0.823,3.13E-05
0.09762,0.111111,0.89,3.32E-05
0.382422,0.131944,0.957,3.39E-05
0.716991,0.152778,1.023,4.04E-05
0.950542,0.173611,1.09,4.30E-05
1.151348,0.194444,1.157,4.58E-05
1.469202,0.222222,1.223,5.28E-05
1.673403,0.25,1.29,5.47E-05
1.8933,0.277778,1.357,5.84E-05
2.182378,0.305556,1.423,6.85E-05
2.312411,0.333333,1.49,7.03E-05
2.531286,0.361111,1.557,7.34E-05
2.698473,0.395833,1.623,8.29E-05
2.776811,0.423611,1.69,8.50E-05
2.814314,0.458333,1.757,8.78E-05
2.939194,0.493056,1.823,9.44E-05
2.991878,0.527778,1.89,9.65E-05
3.016932,0.5625,1.957,9.59E-05
3.072867,0.604167,2.023,0.000101284
3.027364,0.638889,2.09,9.80E-05
3.417891,0.680556,2.157,0.000106746
3.619302,0.722222,2.223,0.000120264
3.814476,0.763889,2.29,0.000121678
4.014879,0.8125,2.357,0.000129326
4.286857,0.854167,2.423,0.000137771
4.49274,0.895833,2.49,0.000140177
4.740403,0.944444,2.557,0.000142979
5.050654,0.986111,2.623,0.000153401
5.324865,1.034722,2.69,0.000157449
5.638629,1.083333,2.757,0.000163064
5.973963,1.131944,2.823,0.000170735
6.264765,1.180556,2.89,0.000172999
6.655096,1.229167,2.957,0.000179037
7.034017,1.277778,3.023,0.000187447
7.377521,1.326389,3.09,0.000193154
7.794145,1.381944,3.157,0.000198131
8.209583,1.430556,3.223,0.000208491
8.457242,1.486111,3.29,0.000211634
8.548452,1.534722,3.357,0.000209494
8.662398,1.590278,3.423,0.000215346
8.875626,1.645833,3.49,0.000216655
9.243101,1.708333,3.557,0.000220197
9.82593,1.763889,3.623,0.000230376
10.32877,1.819444,3.69,0.00023438
10.88658,1.881944,3.757,0.000237952
11.44312,1.944444,3.823,0.000252161
12.02953,2.006945,3.89,0.000257972
12.67823,2.0625,3.957,0.000266371
13.27874,2.131945,4.023,0.000275467
13.845,2.194444,4.09,0.000281284
14.59127,2.25,4.157,0.000288243
15.32943,2.3125,4.223,0.000301943
15.99733,2.375,4.29,0.000308011
16.76772,2.4375,4.357,0.000315203
17.51034,2.5,4.423,0.000327063
18.24603,2.5625,4.49,0.000336295
19.06636,2.625,4.557,0.000344396
19.9039,2.680555,4.623,0.000355179
20.687,2.743056,4.69,0.000364188
21.51906,2.805555,4.757,0.000371233
22.4222,2.861111,4.823,0.000385172
23.25814,2.923611,4.89,0.000392384
24.15441,2.986111,4.957,0.000400305
25.03532,3.048611,5.023,0.000414702
25.91798,3.104167,5.09,0.000420614
26.84616,3.166667,5.157,0.00043059
27.78623,3.222222,5.223,0.000443898
28.70368,3.284722,5.29,0.00044963
29.64489,3.340278,5.357,0.000460849
30.60616,3.395833,5.423,0.000472709
31.58349,3.458333,5.49,0.000479763
32.56103,3.513889,5.557,0.000485407
33.58605,3.569444,5.623,0.000502225
34.55568,3.625,5.69,0.000509944
35.57988,3.680556,5.757,0.000519113
36.58442,3.736111,5.823,0.000532043
37.59,3.798611,5.89,0.000539802
38.61506,3.847222,5.957,0.000552367
39.66607,3.902778,6.023,0.000564783
40.66873,3.958333,6.09,0.000574445
41.73896,4.006945,6.157,0.000580238
42.77872,4.0625,6.223,0.000595145
43.81538,4.111111,6.29,0.000603113
44.84865,4.166667,6.357,0.000612771
45.91539,4.215278,6.423,0.000626294
46.97592,4.263889,6.49,0.000633348
48.04709,4.319444,6.557,0.000643297
49.10188,4.368056,6.623,0.000658743
50.15391,4.416666,6.69,0.000663595
51.19904,4.465278,6.757,0.000675876
52.29549,4.506944,6.823,0.000689443
53.33521,4.555556,6.89,0.000692243
54.41789,4.604167,6.957,0.000707841
55.53715,4.652778,7.023,0.000719212
56.72702,4.701389,7.09,0.000728157
57.81325,4.743055,7.157,0.000737758
58.91011,4.784722,7.223,0.000753372
59.95619,4.833333,7.29,0.000758094
61.08445,4.875,7.357,0.000769517
62.15476,4.916667,7.423,0.000784317
63.1999,4.958333,7.49,0.000789789
64.27343,5,7.557,0.00080074
65.35749,5.048611,7.623,0.000811481
66.39102,5.083333,7.69,0.000817337
67.45993,5.125,7.757,0.000826913
68.55319,5.166667,7.823,0.000840001
69.55145,5.208333,7.89,0.000846893
70.62038,5.25,7.957,0.000856283
71.73144,5.284722,8.023,0.000867216
72.75715,5.326389,8.09,0.000878639
73.82759,5.368056,8.157,0.000886373
74.89335,5.402778,8.223,0.000898461
75.9223,5.444444,8.29,0.000903239
76.97388,5.479167,8.357,0.000915875
78.04291,5.520833,8.423,0.000928639
79.10034,5.555556,8.49,0.0009317
80.14186,5.590278,8.557,0.000941287
81.21341,5.631945,8.623,0.00095226
82.2279,5.666667,8.69,0.000959204
83.28456,5.701389,8.757,0.000970634
84.32055,5.743056,8.823,0.000980647
85.32158,5.777778,8.89,0.000986178
86.3477,5.8125,8.957,0.000993102
87.36485,5.847222,9.023,0.001005565
88.39865,5.888889,9.09,0.001008708
89.46922,5.923611,9.157,0.001016576
90.50653,5.958333,9.223,0.001026964
91.57051,6,9.29,0.001029114
92.67438,6.034722,9.357,0.001037777
93.78555,6.069445,9.423,0.00104693
94.89666,6.111111,9.49,0.001050504
96.04791,6.152778,9.557,0.001054948
97.19309,6.1875,9.623,0.001063542
98.32506,6.229167,9.69,0.001062592
99.48366,6.270833,9.757,0.001060829
100.7843,6.3125,9.823,0.001063831
102.0917,6.361111,9.89,0.001056129
103.4789,6.409722,9.957,0.001054021
104.9409,6.458333,10.023,0.001052805
106.3954,6.513889,10.09,0.001045084
107.927,6.569445,10.157,0.001037997
109.485,6.631944,10.223,0.001027972
111.0055,6.694444,10.29,0.001007759
112.5746,6.763889,10.357,0.000985595
113.9924,6.840278,10.423,0.000957862
114.5958,6.930556,10.49,0.000925719
112.9658,7.027778,10.557,0.00091901
111.9532,7.125,10.623,0.000924152
112.3764,7.229167,10.69,0.000930319
113.3462,7.340278,10.757,0.000946641
114.0321,7.444445,10.823,0.000958788
113.8633,7.555556,10.89,0.000962821
113.5999,7.666667,10.957,0.001056105
114.1929,7.770834,11.023,0.00125489
113.6783,7.861111,11.09,0.001580246
110.55,7.881944,11.157,0.001774002
101.561,7.840278,11.223,0.001732945
90.14118,7.770834,11.29,0.001637182
79.98202,7.708333,11.357,0.001554894
72.53449,7.659722,11.423,0.00150112
67.86986,7.625,11.49,0.001454402
65.49718,7.611111,11.557,0.001436585
64.76794,7.604167,11.623,0.001431011
65.0286,7.604167,11.69,0.00142866
66.53071,7.604167,11.757,0.001441849
68.79909,7.611111,11.823,0.00146105
71.18644,7.625,11.89,0.001478664
73.23491,7.631944,11.957,0.001494326
74.6797,7.638889,12.023,0.001509991
75.67163,7.645833,12.09,0.001511187
76.76409,7.652778,12.157,0.00152183
77.47943,7.652778,12.223,0.001531217
78.04053,7.659722,12.29,0.001530507
78.89489,7.659722,12.357,0.001538813
79.7657,7.666667,12.423,0.001547753
80.615,7.673611,12.49,0.001551144
81.76805,7.680555,12.557,0.001563769
82.81141,7.6875,12.623,0.001574489
83.67833,7.6875,12.69,0.001577468
84.60826,7.694445,12.757,0.001585966
85.72048,7.701389,12.823,0.001598382
86.72132,7.708333,12.89,0.001604255
87.76565,7.715278,12.957,0.001612948
88.85099,7.722222,13.023,0.001623583
89.81017,7.729167,13.09,0.001629018
90.79826,7.729167,13.157,0.001636979
91.84392,7.736111,13.223,0.001647722
92.7945,7.743055,13.29,0.001652985
93.71888,7.75,13.357,0.001660338
94.76573,7.756944,13.423,0.001670717
95.77245,7.763889,13.49,0.001674166
96.78105,7.770834,13.557,0.001687214
97.76013,7.777778,13.623,0.00169763
98.76933,7.784722,13.69,0.001702685
99.79157,7.791667,13.757,0.00171196
100.7739,7.798611,13.823,0.001722783
101.6741,7.805556,13.89,0.00172677
102.6275,7.8125,13.957,0.001737012
103.4945,7.8125,14.023,0.001749565
104.3333,7.819445,14.09,0.001753362
105.1541,7.826389,14.157,0.001764864
105.8613,7.833334,14.223,0.001776914
106.4857,7.840278,14.29,0.001781678
107.1067,7.847223,14.357,0.0017958
107.571,7.854166,14.423,0.001812526
107.5583,7.854166,14.49,0.001821107
107.7043,7.861111,14.557,0.001837188
107.3491,7.861111,14.623,0.001850095
107.0175,7.861111,14.69,0.001852165
106.775,7.861111,14.757,0.001858973
