Load,Actuator,Time,Strain
-1.90042,0,0.101,5.90E-06
-1.90527,0.006944,0.168,2.07E-06
-1.85161,0.006944,0.234,1.42E-06
-1.58909,0.006944,0.301,7.56E-06
-1.36584,0.013889,0.368,8.69E-06
-1.13887,0.020833,0.434,1.16E-05
-0.91174,0.034722,0.501,1.60E-05
-0.6585,0.048611,0.568,1.35E-05
-0.40833,0.0625,0.634,1.60E-05
-0.07415,0.076389,0.701,2.44E-05
0.148043,0.090278,0.768,2.18E-05
0.463809,0.111111,0.834,2.65E-05
0.733515,0.125,0.901,3.48E-05
0.960854,0.145833,0.968,3.01E-05
1.235966,0.166667,1.034,3.55E-05
1.541492,0.194444,1.101,4.00E-05
1.765005,0.222222,1.168,4.01E-05
2.044062,0.243056,1.234,4.31E-05
2.240204,0.270833,1.301,5.30E-05
2.38608,0.305556,1.368,5.28E-05
2.549707,0.333333,1.434,5.43E-05
2.760768,0.368056,1.501,6.24E-05
2.896222,0.395833,1.568,6.10E-05
3.044188,0.430556,1.634,6.64E-05
3.150561,0.472222,1.701,6.99E-05
3.139117,0.506944,1.768,6.77E-05
3.189406,0.548611,1.834,7.02E-05
3.440577,0.590278,1.901,7.68E-05
3.608833,0.625,1.968,8.08E-05
3.816949,0.673611,2.034,8.64E-05
4.035035,0.715278,2.101,9.62E-05
4.108441,0.763889,2.168,9.50E-05
4.279305,0.8125,2.234,0.000104
4.58768,0.854167,2.301,0.000112
4.834747,0.895833,2.368,0.000113
5.214634,0.951389,2.434,0.000119
5.525417,1,2.501,0.000124
5.852428,1.048611,2.568,0.000129
6.304326,1.097222,2.634,0.000138
6.69485,1.152778,2.701,0.000145
7.084781,1.201389,2.768,0.000144
7.565521,1.256944,2.834,0.000151
8.018961,1.305556,2.901,0.000163
8.353056,1.361111,2.968,0.000163
8.509094,1.416667,3.034,0.000168
8.553564,1.472222,3.101,0.000174
8.899505,1.534722,3.168,0.000171
9.398561,1.590278,3.234,0.000179
9.964468,1.652778,3.301,0.000191
10.57495,1.708333,3.368,0.000193
11.23796,1.770833,3.434,0.000202
11.80731,1.833333,3.501,0.000217
12.50119,1.895833,3.568,0.000217
13.30521,1.951389,3.634,0.000229
14.03026,2.013889,3.701,0.000243
14.70501,2.076389,3.768,0.000246
15.55904,2.138889,3.834,0.000259
16.39181,2.194444,3.901,0.00027
17.11229,2.256945,3.968,0.000276
17.9184,2.319444,4.034,0.000285
18.83652,2.375,4.101,0.000301
19.65142,2.4375,4.168,0.000302
20.54547,2.493056,4.234,0.000316
21.50405,2.555556,4.301,0.00033
22.39001,2.611111,4.368,0.000334
23.30224,2.673611,4.434,0.000347
24.28986,2.729167,4.501,0.000359
25.26519,2.784722,4.568,0.000366
26.20535,2.840278,4.634,0.000375
27.20085,2.895833,4.701,0.000391
28.18717,2.951389,4.768,0.000396
29.22663,3.006944,4.834,0.000409
30.24855,3.0625,4.901,0.000422
31.25928,3.118056,4.968,0.000429
32.28204,3.173611,5.034,0.000441
33.35575,3.222222,5.101,0.000453
34.36478,3.277778,5.168,0.000461
35.44612,3.326389,5.234,0.000472
36.51234,3.381944,5.301,0.000483
37.55171,3.430556,5.368,0.000491
38.59876,3.479167,5.434,0.000502
39.6938,3.527778,5.501,0.000516
40.73386,3.576389,5.568,0.00052
41.8165,3.625,5.634,0.000535
42.90994,3.673611,5.701,0.000547
43.94581,3.722222,5.768,0.000551
45.05025,3.770833,5.834,0.000564
46.14717,3.819444,5.901,0.000577
47.23275,3.861111,5.968,0.000582
48.28238,3.909722,6.034,0.000594
49.37854,3.951389,6.101,0.000608
50.42791,4,6.168,0.000613
51.49995,4.041667,6.234,0.000624
52.60813,4.090278,6.301,0.000638
53.67275,4.131944,6.368,0.000645
54.72767,4.173611,6.434,0.000655
55.94905,4.215278,6.501,0.00067
57.02221,4.256945,6.568,0.000675
58.14884,4.298611,6.634,0.000687
59.26402,4.340278,6.701,0.000699
60.32809,4.381944,6.768,0.000705
61.46606,4.423611,6.834,0.000719
62.55675,4.465278,6.901,0.000729
63.58663,4.5,6.968,0.000734
64.68217,4.541667,7.034,0.000749
65.75396,4.583333,7.101,0.000758
66.7497,4.618056,7.168,0.000764
67.8124,4.652778,7.234,0.000777
68.89606,4.694445,7.301,0.000788
69.90802,4.729167,7.368,0.000794
70.9868,4.763889,7.434,0.000803
72.01078,4.805556,7.501,0.000813
73.03626,4.840278,7.568,0.000817
74.1457,4.875,7.634,0.000831
75.18182,4.916667,7.701,0.000842
76.21933,4.951389,7.768,0.000847
77.29009,4.986111,7.834,0.000864
78.32928,5.020833,7.901,0.000871
79.32545,5.055556,7.968,0.000876
80.40182,5.090278,8.034,0.000887
81.41095,5.125,8.101,0.000899
82.40255,5.159722,8.168,0.000902
83.48891,5.194445,8.234,0.000915
84.51207,5.229167,8.301,0.000924
85.52922,5.263889,8.368,0.00093
86.56617,5.291667,8.434,0.00094
87.56141,5.326389,8.501,0.000953
88.58441,5.361111,8.568,0.000958
89.66376,5.395833,8.634,0.00097
90.71245,5.430555,8.701,0.000978
91.71115,5.458334,8.768,0.000984
92.76515,5.493056,8.834,0.000994
93.68574,5.534722,8.901,0.001004
94.69828,5.5625,8.968,0.001006
95.73622,5.597222,9.034,0.001016
96.81959,5.625,9.101,0.001027
97.9053,5.659722,9.168,0.00103
98.97134,5.694444,9.234,0.001041
100.0891,5.729167,9.301,0.00105
101.1142,5.763889,9.368,0.001053
102.1436,5.798611,9.434,0.001063
103.2204,5.833333,9.501,0.001064
104.3204,5.868055,9.568,0.00106
105.5288,5.902778,9.634,0.001064
106.7378,5.944444,9.701,0.001064
108.0199,5.986111,9.768,0.001059
109.3056,6.027778,9.834,0.001055
110.6071,6.076389,9.901,0.001047
111.9973,6.125,9.968,0.001027
113.3062,6.180556,10.034,0.001006
114.0947,6.243056,10.101,0.000978
112.9804,6.3125,10.168,0.000954
111.1577,6.395833,10.234,0.000957
111.3054,6.479166,10.301,0.000954
110.8969,6.569445,10.368,0.00094
110.9129,6.659722,10.434,0.000941
110.9126,6.75,10.501,0.000945
111.2298,6.854167,10.568,0.000964
111.6721,6.951389,10.634,0.000997
111.8723,7.048611,10.701,0.001186
111.4694,7.138889,10.768,0.001509
108.173,7.159722,10.834,0.001725
99.26816,7.125,10.901,0.001691
87.64652,7.055555,10.968,0.001595
77.38152,7,11.034,0.001521
70.26425,6.951389,11.101,0.001463
66.57696,6.916667,11.168,0.001429
65.2705,6.895833,11.234,0.00142
64.75473,6.888889,11.301,0.001415
64.96704,6.881944,11.368,0.001412
65.36273,6.881944,11.434,0.001422
66.14638,6.881944,11.501,0.001424
67.77073,6.881944,11.568,0.001434
69.72086,6.888889,11.634,0.001452
71.40391,6.895833,11.701,0.001466
72.67384,6.902778,11.768,0.001473
73.78401,6.909722,11.834,0.001484
74.67384,6.909722,11.901,0.001489
75.37497,6.916667,11.968,0.001493
76.33158,6.923611,12.034,0.001505
76.98733,6.923611,12.101,0.001507
77.98039,6.930556,12.168,0.001514
79.05505,6.9375,12.234,0.001524
80.03386,6.9375,12.301,0.001532
81.15705,6.944444,12.368,0.001536
82.25168,6.951389,12.434,0.001548
83.43944,6.958333,12.501,0.001557
84.62842,6.965278,12.568,0.001565
85.69184,6.972222,12.634,0.001575
86.65559,6.972222,12.701,0.001585
87.61132,6.979167,12.768,0.001587
88.62498,6.986111,12.834,0.0016
89.68612,6.993055,12.901,0.001607
90.72498,7,12.968,0.001614
91.75218,7.006945,13.034,0.001625
92.63046,7.006945,13.101,0.001632
93.59539,7.013889,13.168,0.001635
94.65515,7.020833,13.234,0.00165
95.55062,7.027778,13.301,0.001655
96.49862,7.034722,13.368,0.001659
97.46962,7.041667,13.434,0.001674
98.39771,7.048611,13.501,0.001681
99.28302,7.055555,13.568,0.001688
100.1579,7.0625,13.634,0.001698
100.9188,7.0625,13.701,0.001704
101.6865,7.069444,13.768,0.00171
102.4794,7.076389,13.834,0.001724
103.0771,7.083334,13.901,0.00173
103.5879,7.090278,13.968,0.001738
104.125,7.097222,14.034,0.001755
104.5218,7.104167,14.101,0.001765
104.8501,7.111111,14.168,0.001773
104.904,7.111111,14.234,0.001791
104.942,7.118056,14.301,0.001799
104.698,7.118056,14.368,0.001808
104.6701,7.118056,14.434,0.001818
104.6518,7.118056,14.501,0.001829
104.4502,7.125,14.568,0.001834
104.111,7.125,14.634,0.001843
